nom site,Polluant,valeur brute
Auto A1 -Saint-Denis,PM2.5,13.016666666666664
Auxerre,O3,21.628846153846155
Auxerre,PM10,10.562500000000002
Auxerre,PM2.5,6.9125000000000005
Av Champs Elysees,NO,17.551923076923078
Av Champs Elysees,NO2,30.825000000000003
Av Champs Elysees,NOX as NO2,57.76923076923077
Av Champs Elysees,PM10,15.110416666666667
Avignon Semard,NO,2.286538461538462
Avignon Semard,NO2,6.799999999999999
Avignon Semard,NOX as NO2,10.31730769230769
Avignon Semard,PM10,7.333333333333332
Aytré,NO,1.7589746153846155
Aytré,NO2,14.13205153846154
Aytré,NOX as NO2,16.837819999999997
Aytré,O3,30.890384615384612
Aytré,PM10,12.989583333333334
BASSENS,NO,2.609615384615385
BASSENS,NO2,12.642307692307693
BASSENS,NOX as NO2,16.63076923076923
BASSENS,O3,46.5108976923077
BASSENS,PM10,8.084615384615383
BASSENS,PM2.5,3.283333333333333
BASSENS,SO2,0.026282307692307695
BASTIA FANGO,NO,5.007692307692308
BASTIA FANGO,NO2,14.448076923076922
BASTIA FANGO,NOX as NO2,22.103846153846156
BASTIA FANGO,PM10,11.618749999999999
BASTIA GIRAUD,NO,0.40961538461538455
BASTIA GIRAUD,NO2,6.019230769230769
BASTIA GIRAUD,NOX as NO2,6.642307692307692
BASTIA GIRAUD,O3,66.41987153846154
BASTIA GIRAUD,PM10,10.48653846153846
BASTIA GIRAUD,PM2.5,4.055769230769231
BASTIA GIRAUD,SO2,1.3108969230769234
BASTIA LA MARANA,O3,53.62435846153846
BASTIA LA MARANA,PM10,20.238461538461536
BASTIA MONTESORO,NO,0.4480769230769231
BASTIA MONTESORO,NO2,4.271153846153846
BASTIA MONTESORO,NOX as NO2,4.946153846153846
BASTIA MONTESORO,O3,64.71346153846153
BASTIA MONTESORO,PM2.5,4.846153846153846
BD BANKS,CO,148.75
BD BANKS,NO,7.211764705882353
BD BANKS,NO2,11.972058823529412
BD BANKS,NOX as NO2,23.008823529411767
BD BANKS,PM10,16.31470588235294
BEAUX ARTS,NO,3.9791666666666674
BEAUX ARTS,NO2,18.587500000000002
BEAUX ARTS,NOX as NO2,24.683333333333326
BELESTA EN LAURAGAIS,O3,61.05192307692308
BESSIERES ECONOTRE,PM10,5.449999999999999
BETHENY,NO,4.80641076923077
BETHENY,NO2,15.482692307692307
BETHENY,NOX as NO2,22.853846153846156
BETHENY,O3,31.890384615384615
BETHENY,PM10,7.289583333333333
BILLERE,NO,0.5897438461538462
BILLERE,NO2,2.4153846153846157
BILLERE,NOX as NO2,3.3160261538461544
BILLERE,O3,72.28076923076922
BILLERE,PM10,1.4865384615384618
BILLERE,PM2.5,0.6269230769230769
BOBIGNY,NO,4.05576923076923
BOBIGNY,NO2,24.57115384615384
BOBIGNY,NOX as NO2,30.798076923076923
BOBIGNY,PM10,12.722916666666668
BOBIGNY,PM2.5,8.360416666666667
BORDEAUX-BASTIDE,NO,8.384615384615385
BORDEAUX-BASTIDE,NO2,16.96923076923077
BORDEAUX-BASTIDE,NOX as NO2,29.826923076923073
BORDEAUX-BASTIDE,PM10,9.258333333333333
BOSSONS,NO,54.10769230769232
BOSSONS,NO2,31.930769230769233
BOSSONS,PM10,11.526923076923076
BREST Plouzané,O3,57.650000000000006
BRIGNOLES,O3,54.551282307692304
BRIGNOLES,PM10,9.347916666666666
BRIVE - Dalton,NO,1.0576923076923077
BRIVE - Dalton,NO2,8.33076923076923
BRIVE - Dalton,NOX as NO2,9.938461538461537
BRIVE - Dalton,O3,33.00384615384615
BRIVE - Dalton,PM10,9.901923076923076
Base loisirs Poses,O3,33.51923076923077
Base loisirs Poses,PM10,7.824999999999999
Baume-les-Dames,NO,4.9788461538461535
Baume-les-Dames,NO2,9.126923076923076
Baume-les-Dames,NOX as NO2,16.759615384615383
Baume-les-Dames,PM10,10.856250000000001
Baume-les-Dames,PM2.5,7.316666666666666
Beaulieu,NO,2.042307692307692
Beaulieu,NO2,18.34423076923077
Beaulieu,PM10,17.500000000000004
Belfort Octroi,NO,2.591025384615385
Belfort Octroi,NO2,8.479486923076923
Belfort Octroi,NOX as NO2,12.43141
Belfort Octroi,PM10,7.722916666666666
Belleville sur Meuse,NO,10.513636363636364
Belleville sur Meuse,NO2,12.64318181818182
Belleville sur Meuse,NOX as NO2,28.763636363636362
Belleville sur Meuse,PM2.5,3.4225000000000003
Berre l'Etang,C6H6,0.16812499999999997
Berre l'Etang,O3,64.925
Besancon Mégevand,NO,4.530769230769231
Besancon Mégevand,NO2,14.673076923076925
Besancon Mégevand,NOX as NO2,21.361538461538466
Besancon Prevoyance,NO,2.251923076923077
Besancon Prevoyance,NO2,12.646153846153847
Besancon Prevoyance,NOX as NO2,16.09615384615385
Besancon Prevoyance,O3,38.14038461538461
Besancon Prevoyance,PM10,10.191666666666666
Besancon Prevoyance,PM2.5,5.587500000000001
Bethune Stade,NO,0.7250000000000001
Bethune Stade,NO2,13.844230769230766
Bethune Stade,NOX as NO2,14.959615384615384
Bethune Stade,O3,26.23974307692308
Biarritz-hippodrome,NO,1.6076923076923078
Biarritz-hippodrome,NO2,3.11859
Biarritz-hippodrome,NOX as NO2,5.305128461538461
Biarritz-hippodrome,O3,70.90192307692308
Biarritz-hippodrome,PM10,9.8375
Biarritz-hippodrome,PM2.5,0.9208333333333335
Biterrois-Narbonnais,O3,56.04166692307693
Bld peripherique Est,NO,10.824999999999998
Bld peripherique Est,NO2,24.867307692307694
Bld peripherique Est,NOX as NO2,41.473076923076924
Bld peripherique Est,PM10,13.616666666666667
Bld peripherique Est,PM2.5,10.383333333333333
Blois nord,NO,1.1
Blois nord,NO2,5.748076923076923
Blois nord,NOX as NO2,7.415384615384616
Blois nord,O3,41.255769230769225
Blois nord,PM10,10.546153846153846
Blois nord,PM2.5,8.019230769230768
Bordeaux_GAUTIER,NO,38.974999999999994
Bordeaux_GAUTIER,NO2,37.801923076923075
Bordeaux_GAUTIER,NOX as NO2,97.53653846153846
Bordeaux_GAUTIER,PM10,10.995833333333332
Bordeaux_GAUTIER,PM2.5,5.410416666666667
Bouchon,NO,5.2892857142857155
Bouchon,NO2,3.6535714285714285
Bouchon,NOX as NO2,11.782142857142857
Bouchon,PM10,12.099999999999998
Boulevard Haussmann,NO,17.88269230769231
Boulevard Haussmann,NO2,37.74807692307692
Boulevard Haussmann,NOX as NO2,65.17884615384615
Boulevard Haussmann,PM10,16.595833333333335
Boulevard Haussmann,PM2.5,7.004166666666666
Boulevard Soult,NO,10.478846153846153
Boulevard Soult,NO2,33.51538461538461
Boulevard Soult,NOX as NO2,49.62884615384615
